,epoch,loss,accuracy,val_loss,val_accuracy
0,1,5.2937,0.0379,2.7654,0.2226
1,2,1.5064,0.5179,0.825,0.7086
2,3,0.4817,0.835,0.3425,0.8832
3,4,0.2506,0.9178,0.181,0.9454
4,5,0.1875,0.9382,0.2645,0.9119
5,6,0.1517,0.9497,0.1481,0.9561
6,7,0.1403,0.9536,0.1373,0.9524
7,8,0.1252,0.959,0.0963,0.9668
8,9,0.1239,0.9576,0.1367,0.9548
9,10,0.1026,0.9655,0.1064,0.9655
10,11,0.0952,0.9667,0.1041,0.9631
11,12,0.1048,0.9632,0.1071,0.9613
12,13,0.0766,0.9735,0.0653,0.9762
13,14,0.0828,0.9688,0.0654,0.9756
14,15,0.084,0.9692,0.1289,0.9552
15,16,0.0817,0.969,0.1144,0.9603
16,17,0.0621,0.9759,0.0516,0.9793
17,18,0.0886,0.9676,0.0585,0.9752
18,19,0.0436,0.9822,0.072,0.9724
19,20,0.0885,0.9674,0.0766,0.9727
20,21,0.0634,0.9743,0.061,0.9764
21,22,0.0578,0.9774,0.0798,0.9716
22,23,0.0702,0.9735,0.0381,0.9824
23,24,0.0409,0.9818,0.0587,0.9765
24,25,0.0781,0.9703,0.0607,0.9756
25,26,0.0517,0.9779,0.0528,0.978
26,27,0.0637,0.9739,0.1191,0.9555
27,28,0.046,0.9801,0.0723,0.9718
28,29,0.0521,0.9784,0.0342,0.9835
29,30,0.0307,0.985,0.0319,0.9841
30,31,0.0697,0.974,0.0647,0.9749
31,32,0.0354,0.9837,0.0338,0.9837
32,33,0.0637,0.9747,0.0697,0.9727
33,34,0.0471,0.9801,0.0354,0.9827
34,35,0.0281,0.9857,0.032,0.9847
35,36,0.0613,0.9764,0.0505,0.9785
36,37,0.0336,0.9846,0.0329,0.9834
37,38,0.0287,0.9863,0.0366,0.9834
38,39,0.0644,0.9756,0.0365,0.9814
39,40,0.0313,0.9851,0.0302,0.9855
40,41,0.052,0.9789,0.1359,0.9486
41,42,0.0342,0.9838,0.026,0.9861
42,43,0.0455,0.9804,0.0601,0.978
43,44,0.0364,0.9831,0.0567,0.9733
44,45,0.0415,0.9821,0.025,0.987
45,46,0.0223,0.9888,0.0228,0.9865
46,47,0.0296,0.9859,0.0377,0.9821
47,48,0.0385,0.9823,0.0223,0.987
48,49,0.0546,0.9772,0.0258,0.9863
49,50,0.0277,0.9859,0.0221,0.9865
50,51,0.0245,0.9878,0.0221,0.9874
51,52,0.0272,0.9863,0.0213,0.9879
52,53,0.0284,0.9859,0.0235,0.9864
53,54,0.0291,0.9857,0.0205,0.9879
54,55,0.0252,0.9867,0.0207,0.9877
55,56,0.0265,0.9864,0.021,0.9878
56,57,0.0249,0.987,0.0204,0.988
57,58,0.0236,0.9875,0.0202,0.9878
58,59,0.0241,0.9873,0.0197,0.9883
59,60,0.0234,0.9876,0.0199,0.9882
